0	00000000	00000000	00000000	00000000	00000000	00000000	00000000
18	00000004	00000004	00000000	00000000	00000000	00000000	00000000
36	00000008	00000004	00000004	00000000	00000000	00000000	00000000
54	0000000c	00000004	00000004	00000000	00000000	00000000	00000000
72	00000010	00000004	00000004	00000000	00000000	00000000	00000000
90	00000014	00000004	00000004	00000000	00000000	00000000	00000000
108	00000018	00000004	00000004	00000000	00000000	fffffffe	00000000
126	0000001c	00000004	00000004	fffffffe	00000000	fffffffe	00000000
144	00000020	00000004	00000008	fffffffe	00000000	fffffffe	00000000
162	00000024	00000004	00000008	fffffffe	00000001	fffffffe	00000000
180	00000010	00000004	00000008	fffffffe	00000001	fffffffe	00000000
198	00000014	00000004	00000008	fffffffe	00000001	fffffffe	00000000
216	00000018	00000004	00000008	fffffffe	00000001	00000004	00000000
234	0000001c	00000004	00000008	00000002	00000001	00000004	00000000
252	00000020	00000004	0000000c	00000002	00000001	00000004	00000000
270	00000024	00000004	0000000c	00000002	00000002	00000004	00000000
288	00000010	00000004	0000000c	00000002	00000002	00000004	00000000
306	00000014	00000004	0000000c	00000002	00000002	00000004	00000000
324	00000018	00000004	0000000c	00000002	00000002	fffffffa	00000000
342	0000001c	00000004	0000000c	fffffffc	00000002	fffffffa	00000000
360	00000020	00000004	00000010	fffffffc	00000002	fffffffa	00000000
378	00000024	00000004	00000010	fffffffc	00000003	fffffffa	00000000
396	00000010	00000004	00000010	fffffffc	00000003	fffffffa	00000000
414	00000014	00000004	00000010	fffffffc	00000003	fffffffa	00000000
432	00000018	00000004	00000010	fffffffc	00000003	00000008	00000000
450	0000001c	00000004	00000010	00000004	00000003	00000008	00000000
468	00000020	00000004	00000014	00000004	00000003	00000008	00000000
486	00000024	00000004	00000014	00000004	00000004	00000008	00000000
504	00000010	00000004	00000014	00000004	00000004	00000008	00000000
522	00000028	00000004	00000014	00000004	00000004	00000008	00000000
540	0000002c	00000004	00000014	00000004	00000004	00000008	00000004
